ori_cols,ori_rows
526,467
667,251
691,456
383,594
505,466
771,331
762,365
825,449
627,535
858,363
938,766
1254,528
350,416
726,324
1101,275
490,480
720,370
806,462
492,502
734,355
727,398
205,330
786,357
832,303
733,449
707,357
495,449
693,766
357,555
671,445
401,714
811,314
700,357
931,509
271,515
701,368
1497,203
733,548
370,528
271,548
462,680
1004,515
271,588
426,604
766,489
456,568
495,546
990,951
264,482
498,437
271,528
964,462
1037,924
766,264
522,733
786,271
198,548
489,434
601,278
547,391
631,398
880,357
689,379
817,319
918,363
633,416
854,341
641,542
185,264
1235,462
585,407
1010,726
932,322
825,251
424,610
911,317
1516,232
601,515
891,773
997,594
1010,410
357,621
192,337
381,743
773,746
1281,601
218,350
482,435
759,390
670,370
938,489
218,396
704,398
515,476
799,746
410,489
1155,423
865,898
687,555
666,409
401,673
792,825
779,271
609,496
674,792
278,423
614,687
458,607
1030,753
693,627
891,891
1195,449
802,363
613,390
560,397
605,454
506,452
469,462
904,319
740,351
291,370
984,964
811,639
1261,1050
1043,396
539,450
950,286
436,528
671,350
766,773
614,264
963,292
425,646
711,382
398,712
786,449
449,647
627,311
832,403
592,400
819,264
423,641
935,328
746,397
1063,429
776,581
485,429
806,753
1017,449
729,601
649,441
611,364
635,386
629,389
674,410
759,495
770,592
931,502
469,436
588,509
740,337
834,354
702,628
568,509
840,396
561,509
667,687
886,362
649,382
824,286
468,575
594,581
897,297
608,416
951,568
832,383
693,700
629,444
680,297
808,329
610,383
555,740
687,542
205,588
674,403
535,733
872,522
449,469
698,609
798,327
753,324
489,436
482,363
1089,575
637,387
1620,215
371,706
502,707
1313,225
839,410
651,396
839,375
482,436
383,548
990,429
396,542
601,350
660,245
614,380
466,421
526,449
878,786
1096,489
931,568
374,729
528,390
759,429
496,677
1076,799
897,379
1070,839
944,502
548,627
572,395
848,343
1130,368
613,399
997,403
707,363
1056,383
278,443
513,478
889,346
621,931
575,542
740,462
502,577
746,713
753,614
778,410
791,366
464,440
383,601
774,312
383,542
198,357
682,385
614,370
602,387
779,370
377,674
1182,522
594,575
357,687
933,300
740,403
670,367
667,443
381,744
709,406
654,542
911,812
971,390
568,522
746,377
1195,535
238,482
548,489
766,377
205,608
654,344
680,759
572,407
819,324
687,425
595,395
809,375
785,311
971,726
757,373
803,346
502,588
800,364
278,449
614,258
944,542
669,378
502,370
990,324
568,726
396,792
251,317
304,489
