height,hull_area,object_area,rectangle_area,width
423.0,148377.5,130411.0,204309.0,483.0
608.0,85789.5,82876.0,112480.0,185.0
626.0,148978.5,130542.5,239758.0,383.0
539.0,124013.5,116597.5,174636.0,324.0
413.0,142267.5,130622.5,187502.0,454.0
413.0,142267.5,130622.5,187502.0,454.0
701.0,148408.5,130453.5,218011.0,311.0
762.0,197905.5,195445.5,295656.0,388.0
569.0,205058.5,153066.5,267999.0,471.0
796.0,163021.5,149875.5,241984.0,304.0
892.0,413274.5,244108.5,644916.0,723.0
1214.0,399584.0,349276.0,568152.0,468.0
358.0,71827.5,66915.5,103820.0,290.0
667.0,120094.0,110700.0,170752.0,256.0
1035.0,141026.5,130029.0,215280.0,208.0
435.0,148599.5,130553.5,194445.0,447.0
661.0,134989.0,122458.0,204249.0,309.0
742.0,211383.0,200678.5,299026.0,403.0
457.0,148637.0,130462.5,205193.0,449.0
692.0,139542.0,130443.5,211752.0,306.0
670.0,154824.5,130390.5,228470.0,341.0
266.0,28358.5,26684.0,38570.0,145.0
730.0,146374.0,83817.0,213160.0,292.0
730.0,146374.0,83817.0,213160.0,292.0
669.0,177197.5,169940.0,260910.0,390.0
657.0,124357.5,120270.5,196443.0,299.0
389.0,131485.5,57633.0,170771.0,439.0
705.0,302167.5,258359.5,446265.0,633.0
493.0,100102.5,79195.0,146421.0,297.0
597.0,140617.0,130655.5,222084.0,372.0
642.0,140017.5,130630.0,207366.0,323.0
642.0,140017.5,130630.0,207366.0,323.0
643.0,127058.0,124320.0,186470.0,290.0
871.0,242075.0,223026.0,388466.0,446.0
453.0,60887.0,58410.0,91959.0,203.0
453.0,60887.0,58410.0,91959.0,203.0
1480.0,136173.5,129991.5,193880.0,131.0
680.0,245021.5,168554.0,333200.0,490.0
471.0,95057.5,74999.0,146952.0,312.0
490.0,75542.5,73863.5,102900.0,210.0
624.0,176448.0,168940.0,252720.0,405.0
938.0,277598.5,267698.5,428666.0,457.0
532.0,77859.5,75793.0,111720.0,210.0
538.0,138183.0,130499.5,193680.0,360.0
702.0,199962.5,191227.0,301860.0,430.0
513.0,135539.0,119909.0,201609.0,393.0
504.0,143435.0,130607.5,217224.0,431.0
885.0,609150.5,507760.0,825705.0,933.0
424.0,60815.5,59342.5,84800.0,200.0
403.0,140713.0,130472.5,186186.0,462.0
460.0,69012.5,67388.5,96140.0,209.0
909.0,243674.5,221384.0,368145.0,405.0
863.0,530884.5,199065.5,860411.0,997.0
704.0,92255.0,89597.5,146432.0,208.0
674.0,213573.0,204820.0,312062.0,463.0
751.0,131534.0,81308.5,180991.0,241.0
489.0,47692.5,46740.0,67971.0,139.0
389.0,134137.5,130762.5,171549.0,441.0
541.0,82333.5,74026.0,116856.0,216.0
528.0,135409.5,130500.5,190608.0,361.0
576.0,140186.0,130312.5,198144.0,344.0
798.0,134738.5,130410.5,209076.0,262.0
649.0,148588.0,130266.5,218713.0,337.0
759.0,138974.0,130289.5,201894.0,266.0
861.0,173950.0,169236.0,256578.0,298.0
581.0,144421.5,130633.0,212646.0,366.0
772.0,145572.5,130273.5,203808.0,264.0
485.0,202897.5,143182.5,276935.0,571.0
203.0,17959.0,16582.5,25375.0,125.0
1172.0,297848.5,239498.5,472316.0,403.0
541.0,134259.5,130736.5,196924.0,364.0
955.0,378075.5,247983.0,634120.0,664.0
855.0,140400.5,130515.5,217170.0,254.0
767.0,105406.0,83890.0,145730.0,190.0
545.0,138217.0,130692.0,195110.0,358.0
846.0,160996.5,151155.0,214038.0,253.0
1468.0,133545.5,130034.5,243688.0,166.0
456.0,183494.5,100779.5,247152.0,542.0
714.0,439422.0,229402.5,591906.0,829.0
940.0,316530.5,282820.0,499140.0,531.0
954.0,218508.0,195916.5,337716.0,354.0
561.0,119963.0,115939.5,164934.0,294.0
279.0,25318.5,24370.5,36549.0,131.0
655.0,139064.0,130483.5,197155.0,301.0
689.0,362390.5,310407.5,491257.0,713.0
1219.0,386900.0,342477.5,659479.0,541.0
290.0,31867.0,29890.0,44660.0,154.0
387.0,134633.0,130822.0,167958.0,434.0
694.0,154729.0,139864.5,224856.0,324.0
626.0,137283.0,130613.0,204076.0,326.0
877.0,239772.5,212416.5,377987.0,431.0
338.0,35641.5,33903.5,52728.0,156.0
644.0,149195.0,130376.5,220248.0,342.0
413.0,143068.5,64672.0,191219.0,463.0
687.0,378896.5,324771.5,511815.0,745.0
430.0,106594.0,100841.5,151360.0,352.0
1094.0,280078.5,255788.5,398216.0,364.0
832.0,539343.0,483701.5,668928.0,804.0
626.0,214465.0,199474.0,310496.0,496.0
626.0,214465.0,199474.0,310496.0,496.0
601.0,135957.5,130695.5,192921.0,321.0
771.0,377144.5,322859.0,570540.0,740.0
716.0,107495.0,105047.0,151076.0,211.0
545.0,158740.0,130340.5,232170.0,426.0
734.0,284562.0,246355.5,453612.0,618.0
363.0,56795.0,55515.0,78408.0,216.0
626.0,244967.5,220671.5,348056.0,556.0
626.0,244967.5,220671.5,348056.0,556.0
995.0,432446.0,243921.5,691525.0,695.0
584.0,271989.0,121335.0,369672.0,633.0
833.0,398172.0,146638.0,701386.0,842.0
1131.0,251099.0,211793.0,434304.0,384.0
738.0,136969.0,130473.5,217710.0,295.0
570.0,134053.5,130544.0,198930.0,349.0
520.0,139596.0,130453.0,187200.0,360.0
540.0,157922.0,130500.5,210060.0,389.0
407.0,140460.0,130566.5,188848.0,464.0
401.0,127304.5,57855.5,166816.0,416.0
834.0,140368.5,130404.5,210168.0,252.0
834.0,140368.5,130404.5,210168.0,252.0
314.0,47267.5,42307.5,72534.0,231.0
901.0,587024.5,502772.0,833425.0,925.0
761.0,288800.5,130032.5,444424.0,584.0
1206.0,874637.5,422977.5,1199970.0,995.0
983.0,223115.5,205140.0,325373.0,331.0
487.0,141713.0,130400.5,194313.0,399.0
879.0,133441.0,130320.0,183711.0,209.0
468.0,129358.0,119703.5,178776.0,382.0
630.0,142357.5,130608.0,195300.0,310.0
716.0,277146.0,117963.0,519100.0,725.0
553.0,78322.5,70869.0,116130.0,210.0
906.0,132309.0,130066.5,194790.0,215.0
906.0,132309.0,130066.5,194790.0,215.0
660.0,145085.5,130356.0,218460.0,331.0
620.0,133840.5,130660.0,182900.0,295.0
730.0,197255.0,182624.0,287620.0,394.0
599.0,165969.0,148877.5,233610.0,390.0
573.0,91783.5,82326.0,144969.0,253.0
770.0,191669.0,178629.0,267960.0,348.0
559.0,142501.5,130376.5,207948.0,372.0
759.0,106451.5,102467.0,157872.0,208.0
580.0,153974.0,144768.0,208220.0,359.0
863.0,137679.0,130446.5,221791.0,257.0
694.0,158327.0,130151.0,241512.0,348.0
998.0,240157.5,217431.5,368262.0,369.0
729.0,294935.5,129907.5,391473.0,537.0
385.0,134702.5,130583.5,170940.0,444.0
699.0,327007.5,265636.0,520056.0,744.0
959.0,267066.0,262331.0,372092.0,388.0
676.0,223261.5,130108.5,375180.0,555.0
597.0,144550.5,130571.0,226263.0,379.0
567.0,132575.0,130496.5,178605.0,315.0
591.0,141756.5,130481.5,199758.0,338.0
591.0,141756.5,130481.5,199758.0,338.0
615.0,148597.5,139318.0,213405.0,347.0
698.0,200250.0,184298.0,307818.0,441.0
723.0,281547.0,130007.5,391866.0,542.0
866.0,245067.5,221850.0,387102.0,447.0
371.0,113458.0,55146.0,153594.0,414.0
456.0,178686.5,125416.0,242136.0,531.0
674.0,128111.0,116127.5,183328.0,272.0
755.0,134149.0,130636.0,192525.0,255.0
582.0,245345.0,129887.5,389358.0,669.0
460.0,172987.5,125715.0,233220.0,507.0
768.0,162090.5,130177.5,249600.0,325.0
447.0,163303.0,113125.0,222606.0,498.0
625.0,271997.5,137448.5,381250.0,610.0
798.0,134851.5,130553.0,201894.0,253.0
610.0,141385.5,130398.5,204350.0,335.0
783.0,132042.5,130298.5,185571.0,237.0
783.0,132042.5,130298.5,185571.0,237.0
523.0,187719.5,132935.5,281374.0,538.0
849.0,136136.5,130405.0,201213.0,237.0
552.0,132935.0,126469.0,196512.0,356.0
887.0,303212.0,287515.0,448822.0,506.0
770.0,160092.5,146470.5,247170.0,321.0
643.0,294078.0,272398.0,405090.0,630.0
577.0,158005.0,130334.5,223876.0,388.0
619.0,100976.0,92787.0,146703.0,237.0
619.0,100976.0,92787.0,146703.0,237.0
576.0,135132.0,130259.0,199296.0,346.0
679.0,236928.5,229069.5,334068.0,492.0
630.0,204570.0,189619.0,305550.0,485.0
522.0,56427.0,55497.5,74646.0,143.0
615.0,137986.0,134318.5,212790.0,346.0
677.0,235474.0,227924.0,323606.0,478.0
816.0,250718.5,212506.0,380256.0,466.0
438.0,111130.5,99587.0,171696.0,392.0
561.0,250591.5,129812.5,366333.0,653.0
561.0,250591.5,129812.5,366333.0,653.0
693.0,121185.0,117550.0,187110.0,270.0
383.0,121694.5,88174.5,165839.0,433.0
424.0,77025.5,57234.0,128472.0,303.0
1024.0,339898.5,255528.5,525312.0,513.0
592.0,135687.0,130704.0,198320.0,335.0
1574.0,135486.5,129401.0,193602.0,123.0
1574.0,135486.5,129401.0,193602.0,123.0
649.0,201671.5,192209.0,288156.0,444.0
1286.0,135797.5,130007.5,203188.0,158.0
770.0,177639.5,172108.5,267960.0,348.0
613.0,142279.5,130306.5,220680.0,360.0
760.0,145214.5,130485.0,221920.0,292.0
378.0,127534.5,54703.0,164808.0,436.0
482.0,114474.5,105352.0,154240.0,320.0
928.0,219411.5,203321.0,344288.0,371.0
484.0,116244.5,109116.0,163108.0,337.0
541.0,106683.5,99855.5,157431.0,291.0
602.0,83519.5,79820.5,113176.0,188.0
579.0,135967.0,130374.0,199755.0,345.0
387.0,133889.5,130821.5,167958.0,434.0
408.0,141433.0,130620.0,197472.0,484.0
723.0,473418.5,384882.5,592860.0,820.0
1033.0,304433.5,301821.0,439025.0,425.0
869.0,296950.5,288460.5,440583.0,507.0
639.0,134497.5,130514.5,186588.0,292.0
471.0,92313.0,63477.0,159198.0,338.0
702.0,175631.0,170088.5,259740.0,370.0
597.0,172599.0,129946.5,247158.0,414.0
1014.0,532873.0,284252.5,747318.0,737.0
840.0,167288.0,130014.5,272160.0,324.0
1010.0,548475.0,519912.0,790830.0,783.0
887.0,266028.0,246954.5,389393.0,439.0
568.0,201635.0,150409.0,274912.0,484.0
538.0,134882.0,130547.0,193142.0,359.0
797.0,143799.5,130421.0,227942.0,286.0
1067.0,156827.0,129983.5,331837.0,311.0
580.0,141296.0,130406.5,213440.0,368.0
939.0,221309.5,204452.5,317382.0,338.0
646.0,129221.0,117599.5,198322.0,307.0
998.0,219840.5,213100.5,322354.0,323.0
390.0,59644.5,57190.0,81900.0,210.0
441.0,153561.0,130631.0,207711.0,471.0
804.0,136274.5,130374.0,221904.0,276.0
873.0,328104.0,306974.0,489753.0,561.0
485.0,196377.0,130585.0,254140.0,524.0
683.0,181216.5,171421.0,273883.0,401.0
516.0,146622.5,130318.5,227040.0,440.0
654.0,325398.0,243556.5,451914.0,691.0
690.0,261107.0,244303.0,385020.0,558.0
725.0,171057.0,130082.0,262450.0,362.0
725.0,135432.5,130354.5,212425.0,293.0
403.0,133763.0,130763.0,171678.0,426.0
546.0,132079.5,123787.0,178542.0,327.0
546.0,132079.5,123787.0,178542.0,327.0
485.0,99278.0,77709.5,154230.0,318.0
292.0,26709.5,24098.5,41172.0,141.0
643.0,138673.5,130532.0,219906.0,342.0
553.0,112628.0,104127.0,163135.0,295.0
559.0,139970.5,130523.0,192855.0,345.0
719.0,149169.5,134687.0,217857.0,303.0
616.0,133276.5,130406.5,194040.0,315.0
1125.0,344996.5,339614.5,516375.0,459.0
514.0,201026.5,108156.5,274476.0,534.0
630.0,136274.0,129634.0,185220.0,294.0
866.0,132623.0,130010.5,194850.0,225.0
671.0,149318.0,145145.5,226798.0,338.0
671.0,149318.0,145145.5,226798.0,338.0
602.0,161937.0,158047.0,232372.0,386.0
602.0,161937.0,158047.0,232372.0,386.0
640.0,147274.0,130301.0,216960.0,339.0
598.0,207687.5,191779.0,289432.0,484.0
754.0,367337.5,169769.0,639392.0,848.0
915.0,203807.5,199652.0,300120.0,328.0
465.0,171988.0,162992.5,236220.0,508.0
683.0,139810.0,134211.0,215145.0,315.0
1140.0,369743.0,364177.5,544920.0,478.0
419.0,48554.0,46415.5,73744.0,176.0
431.0,158676.5,115184.5,212052.0,492.0
701.0,143802.0,138330.5,220114.0,314.0
550.0,58907.5,57041.5,78100.0,142.0
597.0,114612.5,110562.5,168354.0,282.0
699.0,291755.5,245038.0,434079.0,621.0
531.0,133923.0,130448.5,194346.0,366.0
764.0,116927.5,114405.0,198640.0,260.0
628.0,146866.0,130515.5,228592.0,364.0
556.0,136319.5,130536.0,194600.0,350.0
750.0,146230.0,130388.5,237750.0,317.0
750.0,146230.0,130388.5,237750.0,317.0
919.0,487541.0,322047.5,629515.0,685.0
710.0,142736.0,130271.0,231460.0,326.0
737.0,134995.5,130509.0,194568.0,264.0
529.0,161171.5,144720.0,234347.0,443.0
529.0,161171.5,144720.0,234347.0,443.0
390.0,61711.5,59709.5,83460.0,214.0
559.0,82116.5,80629.5,109005.0,195.0
892.0,279069.5,260466.0,424592.0,476.0
621.0,136372.0,130649.5,207414.0,334.0
440.0,90281.0,61851.0,144320.0,328.0
945.0,195302.0,125288.0,272160.0,288.0
673.0,240092.0,228562.5,340538.0,506.0
737.0,164733.5,161148.5,246895.0,335.0
260.0,33195.5,28385.5,50440.0,194.0
429.0,67954.0,56321.0,102102.0,238.0
562.0,139726.5,130677.5,220866.0,393.0
526.0,86782.0,84680.0,124662.0,237.0
581.0,139892.0,131643.5,194635.0,335.0
599.0,130990.5,125565.0,193477.0,323.0
897.0,278218.0,196667.5,433251.0,483.0
1020.0,383120.5,371423.5,591600.0,580.0
613.0,135447.5,130525.5,201677.0,329.0
606.0,140527.5,136207.5,209070.0,345.0
824.0,134707.0,130294.5,190344.0,231.0
495.0,117713.5,95434.0,166320.0,336.0
666.0,247605.5,231485.0,340326.0,511.0
496.0,101499.0,78448.5,168144.0,339.0
777.0,139427.5,130643.0,216783.0,279.0
900.0,196231.0,192132.0,284400.0,316.0
500.0,205777.5,190558.5,290000.0,580.0
393.0,34453.5,33578.5,47160.0,120.0
603.0,106430.5,103491.5,157383.0,261.0
716.0,259093.5,130241.5,423872.0,592.0
456.0,40994.5,40032.0,57000.0,125.0
672.0,151954.0,145701.5,235872.0,351.0
748.0,217211.5,203164.5,330616.0,442.0
647.0,135413.5,130603.0,196041.0,303.0
567.0,132770.5,130639.5,176337.0,311.0
