,product_type,sub_area,culture_objects_top_25,thermal_power_plant_raion,incineration_raion,oil_chemistry_raion,radiation_raion,railroad_terminal_raion,big_market_raion,nuclear_reactor_raion,detention_facility_raion,water_1line,big_road1_1line,railroad_1line,ecology
0,1,17,1,0,0,0,0,0,0,0,0,0,0,0,4
1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,3
2,1,109,0,0,0,0,1,1,0,0,0,0,0,1,4
3,1,124,0,0,0,0,0,0,0,0,1,0,0,0,1
4,1,36,0,0,0,0,0,0,0,0,0,0,0,0,3
5,1,42,0,0,0,0,0,0,0,0,0,0,0,0,1
6,1,55,0,0,0,0,1,0,0,0,0,0,0,0,2
7,1,34,0,0,1,0,1,0,0,0,0,0,0,0,3
8,1,14,0,0,0,0,1,0,0,0,0,0,0,0,2
9,1,55,0,0,0,0,1,0,0,0,0,0,0,0,2
10,1,58,1,0,0,0,1,0,0,0,0,1,0,0,1
11,1,98,0,0,0,0,1,0,0,0,1,0,0,0,1
12,1,38,0,0,0,0,1,0,0,0,0,0,0,0,1
13,1,24,0,0,0,0,1,0,0,0,0,0,0,0,3
14,1,57,0,0,0,0,0,0,0,0,0,0,0,0,1
15,1,72,0,0,0,0,1,0,0,0,0,0,0,0,2
16,1,16,0,0,1,0,1,0,0,0,0,0,0,0,3
17,1,87,0,0,0,0,0,0,0,0,0,0,0,0,3
18,0,20,0,0,0,0,1,0,0,0,0,0,0,0,1
19,1,97,0,0,0,0,0,0,0,0,0,0,1,0,3
20,1,23,0,0,0,0,0,0,0,0,1,0,0,0,3
21,1,36,0,0,0,0,0,0,0,0,0,0,1,0,3
22,1,110,0,0,0,0,1,0,0,1,0,0,0,0,4
23,1,118,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,40,0,0,0,0,0,0,0,0,0,0,0,0,1
25,1,40,0,0,0,0,0,0,0,0,0,0,0,0,1
26,1,7,0,0,0,0,0,0,0,0,0,0,0,0,3
27,1,81,0,0,0,0,1,0,0,0,0,0,0,0,3
28,1,97,0,0,0,0,0,0,0,0,0,0,0,0,3
29,1,14,0,0,0,0,1,0,0,0,0,0,0,0,1
30,1,45,0,0,0,0,1,0,0,0,0,0,0,0,1
31,1,28,0,0,0,0,1,0,0,0,0,0,0,0,3
32,1,21,0,0,0,0,1,0,0,0,0,0,0,0,1
33,1,91,1,0,0,0,1,0,0,0,0,0,1,1,4
34,1,46,0,0,0,0,1,0,0,0,0,0,0,0,1
35,1,20,0,0,0,0,1,0,0,0,0,0,0,0,1
36,1,12,0,0,0,0,0,0,0,0,0,0,0,0,2
37,1,120,0,0,0,0,0,0,0,0,0,0,0,0,1
38,1,51,0,0,0,0,0,0,0,0,0,0,0,0,1
39,1,22,0,0,0,0,1,0,0,0,0,0,0,0,3
40,1,70,0,0,0,0,1,0,0,0,0,0,0,0,3
41,1,23,0,0,0,0,0,0,0,0,1,0,0,0,3
42,1,91,1,0,0,0,1,0,0,0,0,0,1,1,4
43,1,121,0,0,0,0,0,0,0,0,0,0,1,0,1
44,1,28,0,0,0,0,1,0,0,0,0,0,0,0,1
45,1,48,0,0,0,0,0,0,1,0,0,0,0,0,1
46,1,66,0,0,0,0,1,0,1,0,0,0,1,0,3
47,1,22,0,0,0,0,1,0,0,0,0,0,0,0,3
48,1,24,0,0,0,0,1,0,0,0,0,0,0,0,3
49,1,12,0,0,0,0,0,0,0,0,0,0,0,0,2
50,1,65,0,0,0,0,0,0,0,0,0,0,0,0,2
51,1,12,0,0,0,0,0,0,0,0,0,0,0,0,3
52,1,94,0,0,0,0,0,0,0,0,1,0,0,0,3
53,1,20,0,0,0,0,1,0,0,0,0,0,0,0,4
54,1,118,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1,69,0,0,0,0,1,0,0,0,0,0,0,0,2
56,1,59,0,0,0,0,1,0,0,0,0,0,0,0,2
57,1,83,0,0,0,0,1,0,0,0,0,0,0,0,2
58,1,93,0,0,0,0,1,0,0,0,0,0,0,0,2
59,1,16,0,0,1,0,1,0,0,0,0,0,0,0,1
60,1,113,1,0,0,0,1,0,0,0,0,0,0,0,4
61,1,57,0,0,0,0,0,0,0,0,0,0,0,0,2
62,1,13,0,0,0,0,0,0,0,0,0,0,0,0,3
63,1,50,0,0,0,0,0,0,0,0,0,0,0,0,1
64,1,21,0,0,0,0,1,0,0,0,0,0,0,1,1
65,1,127,0,1,0,0,1,1,0,0,0,0,0,0,1
66,1,36,0,0,0,0,0,0,0,0,0,0,0,0,3
67,1,70,0,0,0,0,1,0,0,0,0,1,0,0,3
68,1,74,0,0,0,0,1,0,0,0,0,0,0,0,1
69,1,20,0,0,0,0,1,0,0,0,0,0,0,0,4
70,1,101,0,0,0,0,1,0,0,0,0,0,0,0,1
71,1,14,0,0,0,0,1,0,0,0,0,0,0,0,1
72,1,22,0,0,0,0,1,0,0,0,0,0,0,0,1
73,1,52,0,0,0,0,1,0,0,0,1,0,0,0,4
74,1,20,0,0,0,0,1,0,0,0,0,0,0,0,4
75,1,98,0,0,0,0,1,0,0,0,1,0,0,0,1
76,1,24,0,0,0,0,1,0,0,0,0,0,0,0,3
77,1,33,0,0,0,0,1,0,0,0,0,0,0,0,3
78,1,87,0,0,0,0,0,0,0,0,0,0,0,0,3
79,1,49,0,0,0,0,0,0,0,0,0,0,0,0,1
80,1,28,0,0,0,0,1,0,0,0,0,0,0,0,1
81,1,105,0,0,0,0,0,0,0,0,0,0,0,0,0
82,1,113,1,0,0,0,1,0,0,0,0,0,0,0,1
83,1,20,0,0,0,0,1,0,0,0,0,0,0,0,4
84,1,50,0,0,0,0,0,0,0,0,0,0,0,0,4
85,1,47,0,0,0,0,1,0,0,0,0,0,0,0,1
86,1,37,0,0,0,0,0,0,0,1,0,1,0,0,1
87,1,47,0,0,0,0,1,0,0,0,0,0,0,0,3
88,1,16,0,0,1,0,1,0,0,0,0,0,0,0,3
89,1,98,0,0,0,0,1,0,0,0,1,0,0,0,1
90,1,80,0,0,0,0,0,0,0,0,0,0,0,0,3
91,1,61,1,0,0,0,1,0,0,0,0,0,0,0,4
92,1,50,0,0,0,0,0,0,0,0,0,0,0,0,4
93,1,70,0,0,0,0,1,0,0,0,0,0,0,0,3
94,1,22,0,0,0,0,1,0,0,0,0,0,0,0,3
95,1,25,0,0,0,0,1,0,0,0,0,0,0,0,1
96,1,67,0,0,0,0,0,0,0,0,0,0,0,0,3
97,1,54,0,0,0,0,1,0,0,0,0,0,0,0,4
98,0,78,0,0,0,0,1,0,0,0,0,0,0,0,4
99,1,17,1,0,0,0,0,0,0,0,0,0,0,0,4
100,1,26,0,0,0,0,1,0,1,0,1,0,0,0,4
101,1,87,0,0,0,0,0,0,0,0,0,0,0,0,3
102,1,51,0,0,0,0,0,0,0,0,0,0,0,0,1
103,1,107,0,0,0,0,0,0,0,0,0,0,1,0,2
104,1,60,0,1,0,0,0,0,0,1,0,0,0,0,1
105,1,90,0,0,0,0,0,0,0,0,1,0,0,0,4
106,1,32,0,1,0,0,0,0,0,0,0,0,0,0,2
107,1,9,0,0,0,0,0,0,0,0,1,0,0,0,4
108,1,64,0,0,0,0,0,0,0,0,0,0,0,0,1
109,1,12,0,0,0,0,0,0,0,0,0,0,0,0,3
110,1,103,0,0,0,0,0,0,0,0,0,0,0,0,0
111,1,110,0,0,0,0,1,0,0,1,0,1,0,0,4
112,1,96,0,0,0,0,0,0,0,0,0,0,0,0,1
113,1,12,0,0,0,0,0,0,0,0,0,0,0,1,3
114,1,17,1,0,0,0,0,0,0,0,0,0,0,0,4
115,1,52,0,0,0,0,1,0,0,0,1,0,0,0,4
116,1,20,0,0,0,0,1,0,0,0,0,0,0,0,1
117,1,38,0,0,0,0,1,0,0,0,0,0,0,0,1
118,1,43,0,1,0,0,0,0,0,0,0,0,0,1,4
119,1,126,0,0,0,0,0,0,0,0,0,0,0,0,3
120,1,35,0,1,0,1,1,0,0,0,0,0,0,0,1
121,1,39,0,1,0,0,1,0,0,1,0,0,0,0,1
122,1,50,0,0,0,0,0,0,0,0,0,0,0,0,4
123,1,56,0,0,0,0,1,0,1,0,0,0,0,0,4
124,1,29,0,1,0,0,1,0,0,0,1,0,0,0,2
125,1,38,0,0,0,0,1,0,0,0,0,0,0,0,1
126,1,17,1,0,0,0,0,0,0,0,0,0,0,0,4
127,1,47,0,0,0,0,1,0,0,0,0,0,0,0,3
128,1,32,0,1,0,0,0,0,0,0,0,0,0,0,2
